CUSTOMERID,CUSTOMERNAME,EMAIL,CITY,COUNTRY,TERRITORY,CONTACTFIRSTNAME,CONTACTLASTNAME
1,Land of Toys Inc.,gladys.rim@rim.org,NYC,USA,NA,James,Butt
2,Reims Collectables,yuki_whobrey@aol.com,Reims,France,EMEA,Josephine,Darakjy
3,Lyon Souveniers,fletcher.flosi@yahoo.com,Paris,France,EMEA,Art,Venere
4,Toys4GrownUps.com,bette_nicka@cox.net,Pasadena,USA,NA,Lenna,Paprocki
5,Corporate Gift Ideas Co.,vinouye@aol.com,San Francisco,USA,NA,Donette,Foller
6,Technics Stores Inc.,gladys.rim@rim.org,Burlingame,USA,NA,Simona,Morasca
7,Daedalus Designs Imports,yuki_whobrey@aol.com,Lille,France,EMEA,Mitsue,Tollner
8,Herkku Gifts,fletcher.flosi@yahoo.com,Bergen,Norway,EMEA,Leota,Dilliard
9,Mini Wheels Co.,bette_nicka@cox.net,San Francisco,USA,NA,Sage,Wieser
10,Auto Canal Petit,vinouye@aol.com,Paris,France,EMEA,Kris,Marrier
12,Vitachrome Inc.,yuki_whobrey@aol.com,NYC,USA,NA,Abel,Maclead
13,Tekni Collectables Inc.,fletcher.flosi@yahoo.com,Newark,USA,NA,Kiley,Caldarera
14,Gift Depot Inc.,bette_nicka@cox.net,Bridgewater,USA,NA,Graciela,Ruta
15,La Rochelle Gifts,vinouye@aol.com,Nantes,France,EMEA,Cammy,Albares
16,Marta's Replicas Co.,gladys.rim@rim.org,Cambridge,USA,NA,Mattie,Poquette
17,Toys of Finland Co.,yuki_whobrey@aol.com,Helsinki,Finland,EMEA,Meaghan,Garufi
18,Baane Mini Imports,fletcher.flosi@yahoo.com,Stavern,Norway,EMEA,Gladys,Rim
19,Diecast Classics Inc.,bette_nicka@cox.net,Allentown,USA,NA,Yuki,Whobrey
20,Land of Toys Inc.,vinouye@aol.com,NYC,USA,NA,Fletcher,Flosi
21,Salzburg Collectables,bette_nicka@cox.net,Salzburg,Austria,EMEA,Bette,Nicka
23,La Rochelle Gifts,emerson.bowley@bowley.org,Nantes,France,EMEA,Willard,Kolmetz
24,FunGiftIdeas.com,bmalet@yahoo.com,New Bedford,USA,NA,Maryann,Royster
25,UK Collectables Ltd.,bbolognia@yahoo.com,Liverpool,UK,EMEA,Alisha,Slusarski
26,Euro Shopping Channel,lnestle@hotmail.com,Madrid,Spain,EMEA,Allene,Iturbide
27,Baane Mini Imports,sabra@uyetake.org,Stavern,Norway,EMEA,Chanel,Caudy
28,Volvo Model Replicas Co,mmastella@mastella.com,Lule,Sweden,EMEA,Ezekiel,Chui
29,Corrida Auto Replicas Ltd,wkusko@yahoo.com,Madrid,Spain,EMEA,Willow,Kusko
30,Technics Stores Inc.,emerson.bowley@bowley.org,Burlingame,USA,NA,Bernardo,Figeroa
32,Classic Legends Inc.,bbolognia@yahoo.com,NYC,USA,NA,Francine,Vocelka
34,Classic Gift Ideas Inc,sabra@uyetake.org,Philadelphia,USA,NA,Albina,Glick
35,Saveley & Henriot Co.,mmastella@mastella.com,Lyon,France,EMEA,Alishia,Sergi
36,Canadian Gift Exchange Network,emerson.bowley@bowley.org,Vancouver,Canada,NA,Solange,Shinko
37,West Coast Collectables Co.,bmalet@yahoo.com,Burbank,USA,NA,Jose,Stockham
38,Cambridge Collectables Co.,bbolognia@yahoo.com,Cambridge,USA,NA,Rozella,Ostrosky
39,Super Scale Inc.,lnestle@hotmail.com,New Haven,USA,NA,Valentine,Gillian
42,Amica Models & Co.,doldroyd@aol.com,Torino,Italy,EMEA,Dyan,Oldroyd
43,Scandinavian Gift Ideas,roxane@hotmail.com,Boras,Sweden,EMEA,Roxane,Campain
44,Auto Assoc. & Cie.,lperin@perin.org,Versailles,France,EMEA,Lavera,Perin
